OBJECTID,TOID,ROADLABEL,DESCTERM,NATURE,TLRN_DATE,LAST_EDIT_DATE,Shape__Length
774609,4000000030076447,East Rochester Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,995.756708418989
774610,4000000030654112,Clapham Common North Side,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,26.4561743466605
774611,4000000030147437,London Bridge,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,165.769520711009
774612,4000000031038899,Academy Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,39.4968120010507
774613,4000000030339964,The Avenue,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,51.068883712758
774614,4000000030244983,Newham Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,159.511755064263
774615,4000000030417052,Brixton Hill,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,60.0807382743185
774616,5000005209506626,High Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,47.6736781291223
774617,4000000030238032,Kennington Park Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,46.9505846252571
774618,4000000030463586,Victoria Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,5.4814995195435
774619,4000000030142341,Purley Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,190.537658205857
774620,5000005192498141,Lewisham High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,9.1311261628807
774621,4000000031224892,Vauxhall Bridge Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,23.5602487462544
774622,4000000030700712,Trinity Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,97.6180530824897
774623,4000000030153216,Pentonville Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,108.383681521866
774624,5000005211371192,Hastings Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,48.9219445268234
774625,5000005129606984,Well Hall Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:47+00,20.354583945345
774626,4000000030201944,Bath Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,34.4252859243017
774627,4000000030416645,Atkins Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,20.7824926329141
774628,5000005238643257,Clayponds Lane,A Road,Roundabout,19/04/2017,2022/01/21 15:31:46+00,5.8536318433447
774629,5000005151765714,Atkins Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:47+00,21.9536834965436
774630,4000000030410474,North Circular Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,26.4007575653468
774631,4000000030252200,Homerton High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,63.0654756879442
774632,4000000030320580,Mortlake Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,30.4138126508787
774633,4000000030411797,Edgware Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,19.000000001688
774634,5000005159044500,Clapham Common North Side,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,15.8655168827727
774635,4000000030322681,Hanger Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,36.9597161107174
774636,4000000030243806,Blackwall Tunnel,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,131.580608044146
774637,4000000030339900,Atkins Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,46.179403312665
774638,5000005155998253,Upper Tooting Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,14.4998146590918
774639,4000000030241751,Eltham Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,121.322416713532
774640,4000000030341110,London Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,67.3672135798752
774641,4000000031199613,Lambeth Palace Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,27.1189703381686
774642,4000000030416772,Thurlow Park Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:43+00,14.7489367991164
774643,5000005143751194,Upper Richmond Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,17.7573317612417
774644,5000005223675352,Battersea Bridge Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,125.55070550112
774645,4000000030419264,Bishopsgate,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,25.2982213468411
774646,5000005256220882,Borough High Street,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:47+00,19.0593271806761
774647,4000000030241239,East India Dock Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,71.9845554934682
774648,4000000030338017,Farnborough Way,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,62.3813935735885
774649,4000000030457365,London Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,11.4017542498963
774650,4000000030342407,Parry Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,40.178618382553
774651,5000005208958468,Farnborough Common,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,23.1710640246596
774652,4000000030214309,York Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,149.292962980242
774653,4000000030403102,London Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,23.4307490285919
774654,4000000030082291,Park Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,378.528835803531
774655,5000005121270453,The Hale,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,37.1909759232913
774656,4000000030096411,Westway,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,231.541879048105
774657,4000000030335803,Wickham Road,Unknown,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,47.9048545165952
774658,5000005137091966,Monument Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,7.20203644923628
774659,5000005136331204,Harlington Road West,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,10.9106738576341
774660,4000000030451476,Upper Tooting Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,16.6433169763343
774661,4000000030422328,Orpington Bypass Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,30.8058436020637
774662,4000000030465740,Colchester Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,17.6918092297532
774663,4000000030459831,Rotherhithe Tunnel Approach,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,14.4332771620579
774664,4000000030342606,Grosvenor Place,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,48.1712264322381
774665,4000000030463049,Blackwall Tunnel Northern Approach,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,5.14645367689924
774666,5000005153221214,Grosvenor Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,28.4628681910542
774667,4000000030100151,Sidcup Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,216.265735516201
774668,4000000030211055,The Parkway,A Road,Roundabout,19/04/2017,2022/01/21 15:31:46+00,53.502881970503
774669,4000000030208167,Crown Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,56.0802995712564
774670,5000005121270434,Broad Lane,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,39.1455888749444
774671,5000005211767760,Wickham Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,50.3335610836127
774672,4000000030404190,Chertsey Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:43+00,31.4633674973949
774673,5000005133059011,Dulwich Common,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,41.486416743111
774674,4000000031083385,Great Cambridge Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,34.5543707946263
774675,4000000030340216,Brixton Hill,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,56.484608756697
774676,4000000030233590,London Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,48.1362653817038
774677,4000000030076320,North Circular Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,620.250438651256
774678,4000000030235237,Clapham Common South Side,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,22.3588400850472
774679,4000000030340956,Kennington Park Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,84.3039765244335
774680,4000000030156093,A12,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,128.057488303233
774681,4000000030346095,Bishopsgate,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,43.4542901320107
774682,4000000030700665,Alfreds Way,A Road,Slip Road,19/04/2017,2022/01/21 15:31:46+00,53.6626162859931
774683,4000000030417396,Brownhill Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,32.1596481125751
774684,4000000031231085,Bromley Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,19.2486118460161
774685,4000000030095053,St Dunstans Hill,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,301.087316062878
774686,4000000031256575,Kennington Park Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,102.640800141788
774687,4000000031289291,Reigate Avenue,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,138.427044044782
774688,5000005215631352,High Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,30.7576722818173
774689,4000000030154023,Blackwall Tunnel Northern Approach,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,222.893348199196
774690,5000005131716832,Leatherhead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,65.1261367650891
774691,4000000030418497,Great Dover Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,13.9406760420865
774692,4000000030242470,Sidcup Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,157.448280408369
774693,4000000030134292,Gunter Grove,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,180.288886100876
774694,4000000030160226,Eastern Avenue East,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,195.453157627087
774695,4000000031067374,Country Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,3.96282828322093
774696,4000000030452773,North Side Wandsworth Common,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,11.1803398877853
774697,4000000030328914,North Circular Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,36.8491237620838
