X,Y,L
0.132363966923421,51.34691134268,n125
0.131935190556511,51.3469551210138,n126
0.131606016616008,51.3469790988417,n127
0.131367526126646,51.3470008768709,n128
0.13135948954673,51.3470016076757,n129
-0.165596007276767,51.5202711278758,n130
-0.165570894157224,51.5203156974698,n131
-0.165489600691884,51.5204601849919,n132
-0.101866117850411,51.530776559883,n133
-0.101879404427464,51.5308037524595,n134
-0.101892691019967,51.5308309450345,n135
-0.101916874605812,51.5308519652083,n136
-0.101948827777366,51.5308678234888,n137
-0.101991304175238,51.5308864958331,n138
0.002130418555007,51.4969527306758,n139
0.002056247291933,51.497232770659,n140
0.002033268027127,51.4973360124635,n141
0.002020539550927,51.4974042415441,n142
-0.083329251877797,51.5773441408667,n143
-0.083210416311782,51.5774501096497,n144
-0.082804420644366,51.5778121691845,n145
-0.204811639664227,51.3742711216874,n146
-0.204806825062328,51.3743159660914,n147
-0.204806325288322,51.3743206615779,n148
-0.204731164988972,51.3743900840471,n149
-0.204729301829629,51.3743918000673,n150
-0.204662648353035,51.3744016957517,n151
-0.01085084846516,51.4637414057898,n152
-0.01076232699203,51.4636807406276,n153
-0.004432148557472,51.5119564712427,n154
-0.004311664832646,51.5119782426799,n155
-0.003977406148,51.5120386594214,n156
-0.003386227113767,51.5121455011928,n157
-0.002936023299691,51.5122240036819,n158
-0.002587477505138,51.5122847757044,n159
-0.001947923920468,51.5124087717189,n160
-0.001304160457871,51.5125202106877,n161
-0.000828938892913,51.5126087102687,n162
-0.197504476504667,51.5595329483226,n163
-0.197365346806686,51.5595314853837,n164
-0.197192373548249,51.5595296281893,n165
-0.197014554860865,51.5595277232621,n166
-0.10619724761838,51.4400481053278,n167
-0.106200542663186,51.4400362792773,n168
-0.106207118368065,51.4400126269433,n169
0.065337990760372,51.3606749053281,n170
0.065944633705247,51.3606673186898,n171
0.066403243920364,51.3607068107315,n172
0.066655546950311,51.3607394823795,n173
0.06695345222244,51.3607905397664,n174
0.069295092165583,51.3612803106101,n175
0.070368171386029,51.3615041585076,n176
0.223100251052918,51.5955761047501,n177
0.221593150278817,51.5951482321175,n178
-0.121863275494969,51.5072830331469,n179
-0.1217129786287,51.5074546947387,n180
-0.121681211558531,51.5074969095195,n181
-0.121503883618173,51.5077325874356,n182
-0.12133188950089,51.5079611654884,n183
-0.121076352405238,51.5082178554768,n184
-0.120993846505764,51.5082943550694,n185
-0.120971478392054,51.508315093193,n186
-0.120911655824689,51.508368089954,n187
-0.120612540892766,51.5086330732733,n188
-0.120419408788272,51.5087738588665,n189
-0.120226275489788,51.5089146441262,n190
-0.120003239089759,51.5090515685493,n191
-0.057119669632553,51.4733994408332,n192
-0.057188879449289,51.4733871166859,n193
-0.057254157227217,51.4733754917207,n194
-0.057317536180959,51.4733773782008,n195
-0.057389429135756,51.4733795136248,n196
-0.215657624573581,51.5755371314806,n197
-0.216072021608876,51.5756423473266,n198
-0.216242987253161,51.5756989001305,n199
-0.217193860931671,51.5761090121746,n200
-0.170651148534375,51.5203770537117,n201
-0.170676501779641,51.52039543404,n202
-0.170685130170716,51.520401692472,n203
-0.170917286599272,51.5205700457693,n204
-0.17114954410091,51.5207650628166,n205
-0.035929109930034,51.5456259326184,n206
-0.035942748053453,51.5456441461183,n207
-0.035997687622803,51.5457080139956,n208
-0.03614964283954,51.5458634317884,n209
-0.036191331579515,51.545900099994,n210
-0.240733860300724,51.4498244723254,n211
-0.240536367512832,51.4497722566378,n212
-0.240325027415946,51.4497163706599,n213
-0.240264691245796,51.4497004205686,n214
-0.240227423870326,51.4496908686735,n215
-0.240145733427408,51.4496744630844,n216
-0.115149407248057,51.3370193964573,n217
-0.115289562351273,51.3371025869358,n218
-0.115290972382417,51.3371032121422,n219
-0.115331866988426,51.3371212532543,n220
-0.115416844931856,51.3371495989988,n221
-0.115473496953045,51.3371684961281,n222
-0.115528411596599,51.3371814480272,n223
-0.115582460379094,51.3371829561482,n224
-0.115648787920517,51.3371840233105,n225
-0.147273960276563,51.4531506307047,n226
-0.14719583182133,51.4531947814974,n227
-0.146992082062609,51.4534002609676,n228
-0.146885422848238,51.4535041928981,n229
-0.146869947088772,51.4535309260132,n230
-0.146881783613286,51.4535940611903,n231
-0.1142970774016,51.5542013061558,n232
-0.114366508252569,51.5542134378347,n233
-0.114421130551174,51.5542229844445,n234
-0.114461564220816,51.554251232177,n235
-0.114458751848258,51.5542672655342,n236
-0.11445093201949,51.5543119493909,n237
-0.104153496106834,51.5314337380057,n238
-0.103201264230079,51.5311938279642,n239
-0.102362174882481,51.5309824213258,n240
-0.102019832721159,51.5308938726845,n241
-0.007959245070535,51.5133653329356,n242
-0.007813765035479,51.5130661039319,n243
-0.007707962540585,51.5128484827288,n244
-0.007519369648901,51.5121561079839,n245
-0.007503704643416,51.5120986215158,n246
-0.007447096898949,51.5118908284595,n247
-0.007447280514634,51.5118899233198,n248
-0.281834492446964,51.4765119521435,n249
-0.281659551391045,51.4761856621789,n250
0.083169853695963,51.5736610784622,n251
0.083413832493855,51.5736080241428,n252
0.083494136421299,51.5736021738143,n253
0.083620540314216,51.5735945515718,n254
0.083693795197931,51.5735901392167,n255
0.083749205530366,51.5735480225921,n256
0.083756137119447,51.5735427556698,n257
0.083798163717818,51.573515031211,n258
-0.294021819510804,51.4659619636471,n259
-0.294500679235522,51.4658610211136,n260
-0.115433639031226,51.3965796772584,n261
-0.115469956053611,51.3966802960984,n262
-0.115525090178172,51.3968001651603,n263
0.06359819031332,51.4990369546715,n264
0.063602488547317,51.4989920860319,n265
0.063608761272194,51.4989264992679,n266
0.063592335282622,51.4988818244694,n267
0.06356403318856,51.4988651283427,n268
0.06353312590442,51.4988468953259,n269
0.063488718930143,51.4988206984479,n270
0.063415113287353,51.4987860225762,n271
0.063342319462277,51.4987693179192,n272
0.062936785022173,51.4987224962868,n273
0.062706455481187,51.4986997136655,n274
0.062473665788044,51.4986766860943,n275
-0.159260877229842,51.4843367671183,n276
-0.158551237810231,51.4844335355792,n277
-0.162582569301339,51.5003218467908,n278
-0.162183744744129,51.5006932286349,n279
-0.156317478315844,51.4388575310543,n280
-0.156350197625832,51.4388975591265,n281
-0.156357781085872,51.4389068328596,n282
-0.156320262955355,51.4389734713719,n283
-0.15630729140479,51.4389779434946,n284
-0.156244315712473,51.4389996592457,n285
-0.128340087997197,51.4202336129298,n286
-0.128322011893865,51.4201497465748,n287
-0.128299414176761,51.420044891102,n288
-0.128291662307149,51.4200198846417,n289
-0.134908373805533,51.4299402632499,n290
-0.134834390367045,51.4300122589749,n291
-0.131031276114422,51.4290111919828,n292
-0.131064622050853,51.4290510215147,n293
-0.131065595820604,51.429052188099,n294
-0.131068512894676,51.4291657845974,n295
-0.131092278256072,51.4292077274963,n296
-0.131132576985288,51.4292788273447,n297
-0.401823437489648,51.4474549805928,n298
-0.401726828998174,51.4473367634189,n299
-0.401630221000766,51.4472185461674,n300
-0.401448879436213,51.4470542119048,n301
-0.40082685240262,51.4463226561233,n302
-0.400605691912319,51.4460625486232,n303
-0.40055328846569,51.4459972867957,n304
-0.400481578560462,51.4459079858305,n305
-0.277886131609752,51.3820780271185,n306
-0.277945268675472,51.3820339335696,n307
-0.278005417567764,51.3819628772431,n308
-0.129366641292664,51.4313301849678,n309
-0.129378979590571,51.4314571060579,n310
-0.087136534760026,51.6165863853483,n311
-0.087210221012614,51.6165516163757,n312
-0.087270227843286,51.6164986396064,n313
-0.087330990156804,51.6164276902631,n314
-0.087339461207953,51.6164196361885,n315
-0.104427971296548,51.5146397499347,n316
-0.104479132338779,51.5148689694609,n317
-0.104517226971723,51.5149803642841,n318
